"Y","E1","E2","E3","E4","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20"
13.5275462947838,198.539135138176,198.384412338158,200.499881631535,200.175126744824,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1
13.5499944780491,199.933940732305,199.918642186147,200.179860659057,202.223139559303,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1
13.5275011298391,199.380094767308,200.588789668812,198.297026113438,200.646576083068,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0
13.5240951733133,197.241563418114,199.640621403595,199.802057489097,197.10600759965,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0
13.5658651790405,199.733421283377,200.052394217424,200.683494660254,200.073956143601,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1
13.5179156636316,198.127930221503,198.768552694527,202.17036312254,198.974316022295,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
13.5778668341501,199.622400999398,202.469961600176,200.31754015436,200.251591612638,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1
13.5737344193249,199.407757574349,200.373307764084,201.922945565602,200.009261865401,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1
13.5315301078831,200.721550786346,201.195045133104,197.53773704942,202.15795037344,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
13.5497808917511,200.178888868546,199.431302105393,199.442560233836,200.428353858766,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1
13.5088068291226,200.234655546574,197.510984576255,202.210421165643,201.682955095865,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1
13.5727175250813,200.297774970116,199.518238111744,198.794191091054,201.507235694007,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0
13.569170301589,200.362316872888,202.834905209845,203.474494565035,198.635081906877,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0
13.5537613626495,201.498067163343,201.143832819238,198.231375465724,199.874628649467,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1
13.5706370647476,199.918769406603,199.654260510455,199.859564055077,199.929242939096,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0
13.5616941183139,200.660236897691,201.3524621928,200.723256128467,200.663190884981,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0
13.5297835284816,197.570714766717,200.265188976232,199.79278726465,199.992935165086,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0
13.566864524736,199.149445807398,200.48383768581,201.203450375149,202.020052574278,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0
13.5785727922252,198.539171165174,200.923746315956,200.392746062767,201.945200709526,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
13.5744010198855,202.081252172542,200.544787157297,200.091143172827,200.80339787701,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1
13.5491424033941,200.593594885339,197.815591888086,198.375144453463,200.602111718083,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1
13.5644036913398,198.402519483734,200.916541220369,198.502067192829,204.389969439432,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13.5726834187182,203.10614599077,198.886439587378,200.273687624354,198.305793021371,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0
13.5848047476611,199.596129675524,201.326832065318,199.113629791796,201.079150357207,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1
13.5516786797377,203.201192774564,201.299059109623,200.186632572298,200.804140851862,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0
13.5780207733495,201.685990079693,200.313931436427,199.86286871625,201.771799631801,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1
13.544776426474,199.091521500521,200.609266008977,198.691249871123,202.176174505683,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
13.5407271530025,199.332459847311,198.953414193001,199.577658975559,198.385073160135,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1
13.5409742560524,198.117078733759,198.305571780832,199.292534078302,199.097324598227,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1
13.5543902084586,198.299158885818,200.793181209447,201.167492097946,199.809203421245,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0
13.5641507573311,199.05403744736,199.428593368913,200.602324030311,198.839891580966,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0
13.5904132393806,201.657795950776,200.293490317273,200.330305758539,200.90334349584,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
13.5770111329773,200.061584401556,200.529342148701,198.652530512733,199.899114637995,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
13.5716188241811,202.435994919438,198.809476654594,201.184504196644,199.072435616153,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0
13.5178066733015,197.910318580662,198.147193126559,198.696177918004,197.130268370344,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1
13.5698768981875,200.886416623749,202.934748568103,199.419902048187,194.857821101534,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1
13.6023262681368,200.988069315252,198.241478400248,198.889543276765,199.524922554262,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0
13.5205216536993,199.057692724376,198.71972239519,196.942085591461,203.244991800813,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0
13.5633580346278,199.954362133853,201.961609645611,201.034258825849,198.599550753908,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1
13.5269573542667,199.874959437542,197.346290965577,200.668334388465,197.802412399026,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1
13.5963172058099,200.218956087109,199.89826530009,200.942867874148,201.318042582161,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1
13.5969583163092,200.898392415542,199.773300052125,199.016914748221,200.443552111777,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
13.5493211013298,198.730215631098,200.393393807212,200.551134942183,201.062081598157,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
13.5791605949938,199.616245210579,200.807111861452,198.088976624531,198.632749360195,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1
13.5686051895987,200.857468068517,201.585403166835,201.376463648308,200.108973131304,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
13.568147488092,198.316513286283,202.069187323228,199.908707701547,199.544400757136,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1
13.5518218183043,200.332830956961,199.925470607125,201.302695683059,197.752166963682,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
13.5527197038321,199.748178858266,200.181313781289,198.316578625212,201.221299176128,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0
13.574809091546,201.616508316924,198.265804930932,201.261678420811,199.934290008702,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0
13.5723508282983,199.826297265866,201.648058610058,199.296127527612,200.060334403656,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0
13.563105559205,198.914135921875,200.80608227108,198.304932694505,200.035208841556,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0
13.5920512705718,201.68400039874,200.340189878952,199.796379617414,200.479214703602,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0
13.5621629705921,197.599675225637,203.959549051918,198.840286714715,201.542492217302,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0
13.5551249146339,199.077468345172,198.44046040974,198.237890491728,198.939568934903,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0
13.5679524692129,198.556802094611,202.715165852062,197.66574650141,199.308273988731,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1
13.5643811247517,198.719019070466,200.3153544278,198.494638815053,200.530164919719,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1
13.5142395656954,199.693827188023,200.906368200727,199.698094918856,198.897918754846,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0
13.540180415767,198.896425379255,198.951828438305,200.355598955685,199.801973772564,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0
